document_id,document_title,summary_pdf,last_updated
1,2023-09-15-COMMENTAIRE-Automne-2023-10000000065639560,C:\Users\olivi\OneDrive\Desktop\Travail\Travaux_autres\KnowledgeExtractor\knowledge_extractor\data\summaries\2023-09-15-COMMENTAIRE-Automne-2023-10000000065639560.pdf,2025-10-05 14:19:29
2,Russie Wikipedia,C:\Users\olivi\OneDrive\Desktop\Travail\Travaux_autres\KnowledgeExtractor\knowledge_extractor\data\summaries\Russie_Wikipedia.pdf,2025-10-05 15:29:59
